Date,Open,High,Low,Close,Volume,Currency
2020-06-22,0.02137,0.02245,0.02127,0.02221,340384512,USD
2020-06-23,0.02221,0.02296,0.02178,0.02262,265879168,USD
2020-06-24,0.02261,0.02273,0.02142,0.02232,297134688,USD
2020-06-25,0.02232,0.02238,0.02126,0.02157,209829808,USD
2020-06-26,0.02157,0.02196,0.02066,0.02086,270178496,USD
2020-06-27,0.02086,0.02123,0.01882,0.01935,289013216,USD
2020-06-28,0.01935,0.02035,0.01821,0.02007,292168672,USD
2020-06-29,0.02007,0.02036,0.01882,0.01963,350776608,USD
2020-06-30,0.01963,0.01975,0.01882,0.01896,152119040,USD
2020-07-01,0.01896,0.01963,0.01852,0.01869,312730720,USD
2020-07-02,0.01869,0.01942,0.01815,0.01886,242818944,USD
2020-07-03,0.01886,0.01959,0.01867,0.01923,209139264,USD
2020-07-04,0.01923,0.01958,0.019,0.01955,124356864,USD
2020-07-05,0.01955,0.01963,0.01869,0.01908,178656896,USD
2020-07-06,0.01908,0.02006,0.01889,0.01994,192204032,USD
2020-07-07,0.01994,0.0205,0.01956,0.0201,225544112,USD
2020-07-08,0.0201,0.02182,0.01988,0.02162,398789152,USD
2020-07-09,0.02162,0.02169,0.0197,0.02064,347528224,USD
2020-07-10,0.02064,0.02134,0.02011,0.02115,236174128,USD
2020-07-11,0.02115,0.02168,0.02059,0.02136,222771216,USD
2020-07-12,0.02136,0.02155,0.02045,0.02121,205206640,USD
2020-07-13,0.02122,0.02375,0.0211,0.02237,619339264,USD
2020-07-14,0.02237,0.02257,0.02121,0.02237,359393760,USD
2020-07-15,0.02237,0.02374,0.02217,0.02223,389934816,USD
2020-07-16,0.02223,0.02307,0.02037,0.02091,422122112,USD
2020-07-17,0.02091,0.02179,0.02067,0.02114,217249872,USD
2020-07-18,0.02114,0.02159,0.02073,0.02144,146205152,USD
2020-07-19,0.02144,0.02159,0.02086,0.02126,183182976,USD
2020-07-20,0.02126,0.02287,0.02108,0.02157,467822784,USD
2020-07-21,0.02157,0.02199,0.02092,0.02127,307588000,USD
2020-07-22,0.02127,0.02164,0.02095,0.02122,218124816,USD
2020-07-23,0.02122,0.0216,0.021,0.0211,176507488,USD
2020-07-24,0.0211,0.02136,0.02033,0.02064,230311888,USD
2020-07-25,0.02062,0.02133,0.02062,0.02089,182663216,USD
2020-07-26,0.02089,0.02137,0.02053,0.0207,221021648,USD
2020-07-27,0.0207,0.02089,0.01818,0.01996,531018144,USD
2020-07-28,0.02074,0.02083,0.02028,0.02047,387665504,USD
2020-07-29,0.02047,0.02088,0.02009,0.02022,237944272,USD
2020-07-30,0.02022,0.02105,0.02009,0.02041,193835600,USD
2020-07-31,0.02041,0.02067,0.0201,0.02025,164715408,USD
2020-08-01,0.02025,0.02143,0.0201,0.02108,254552752,USD
2020-08-02,0.02108,0.02142,0.01967,0.02002,299884672,USD
2020-08-03,0.02002,0.02092,0.01993,0.02043,178338304,USD
2020-08-04,0.02043,0.02087,0.02036,0.02064,180832544,USD
2020-08-05,0.02064,0.02198,0.02054,0.0213,340070240,USD
2020-08-06,0.0213,0.02227,0.02116,0.02176,309178592,USD
2020-08-07,0.02176,0.02233,0.02058,0.02135,247103024,USD
2020-08-08,0.02135,0.02293,0.02124,0.02285,373210080,USD
2020-08-09,0.02285,0.02376,0.02233,0.02266,423183680,USD
2020-08-10,0.02266,0.0244,0.02186,0.0244,514120832,USD
2020-08-11,0.0244,0.02622,0.02192,0.02303,786116800,USD
2020-08-12,0.02303,0.02583,0.02264,0.02526,470705664,USD
2020-08-13,0.02526,0.02866,0.02401,0.02715,963764288,USD
2020-08-14,0.02715,0.02874,0.02636,0.02814,472235712,USD
2020-08-15,0.02814,0.03231,0.02702,0.03005,875451136,USD
2020-08-16,0.03005,0.03096,0.02837,0.03014,446620512,USD
2020-08-17,0.03014,0.032,0.02787,0.02874,577208896,USD
2020-08-18,0.02874,0.0296,0.02566,0.02675,448259328,USD
2020-08-19,0.02675,0.02736,0.02385,0.02485,549617152,USD
2020-08-20,0.02485,0.02688,0.02463,0.02667,344497920,USD
2020-08-21,0.02667,0.02881,0.02471,0.02477,526238336,USD
2020-08-22,0.02477,0.02642,0.02374,0.02615,319312736,USD
2020-08-23,0.02615,0.02615,0.02481,0.0253,148495104,USD
2020-08-24,0.0253,0.02838,0.02491,0.02794,356733760,USD
2020-08-25,0.02794,0.02816,0.02492,0.0257,325031776,USD
2020-08-26,0.0257,0.02741,0.02549,0.02729,324855456,USD
2020-08-27,0.02729,0.0276,0.02497,0.02573,267809568,USD
2020-08-28,0.02573,0.02716,0.0254,0.02684,158384256,USD
2020-08-29,0.02684,0.02853,0.02651,0.02753,283091296,USD
2020-08-30,0.02753,0.02869,0.02711,0.02717,227671840,USD
2020-08-31,0.02717,0.02753,0.02619,0.02652,200486640,USD
2020-09-01,0.02652,0.02692,0.02542,0.02548,271453824,USD
2020-09-02,0.02548,0.02596,0.02145,0.02343,390451776,USD
2020-09-03,0.02343,0.02371,0.01822,0.01928,396954048,USD
2020-09-04,0.01928,0.01994,0.01757,0.01924,414270944,USD
2020-09-05,0.01924,0.02006,0.01696,0.01796,329353792,USD
2020-09-06,0.01796,0.01907,0.01712,0.01871,213450864,USD
2020-09-07,0.01871,0.01894,0.01711,0.0188,211519696,USD
2020-09-08,0.0188,0.01908,0.01758,0.01819,154106048,USD
2020-09-09,0.01821,0.02071,0.01788,0.02003,303290368,USD
2020-09-10,0.02003,0.02149,0.01994,0.02038,228123984,USD
2020-09-11,0.02038,0.02144,0.01959,0.02109,194194960,USD
2020-09-12,0.02109,0.02124,0.02054,0.02098,136504272,USD
2020-09-13,0.02098,0.02128,0.01913,0.01976,205448544,USD
2020-09-14,0.01976,0.02038,0.0195,0.02009,150536176,USD
2020-09-15,0.02009,0.02163,0.02003,0.02044,285496896,USD
2020-09-16,0.02044,0.02044,0.01932,0.01987,181755040,USD
2020-09-17,0.01987,0.02048,0.01939,0.02044,219317488,USD
2020-09-18,0.02044,0.02168,0.01984,0.02106,281134976,USD
2020-09-19,0.02103,0.02157,0.02055,0.02085,161750160,USD
2020-09-20,0.02085,0.02245,0.02036,0.02189,275519296,USD
2020-09-21,0.02188,0.02347,0.0184,0.01879,652653952,USD
2020-09-22,0.01881,0.01969,0.01857,0.01959,138786448,USD
2020-09-23,0.01959,0.01982,0.01753,0.01763,177734192,USD
2020-09-24,0.01769,0.01904,0.01726,0.01895,206006032,USD
2020-09-25,0.01895,0.01943,0.01827,0.01912,142668368,USD
2020-09-26,0.01912,0.01936,0.01859,0.01883,124743824,USD
2020-09-27,0.01883,0.01917,0.01806,0.01875,154373152,USD
2020-09-28,0.01875,0.02034,0.01866,0.01884,335946304,USD
2020-09-29,0.01884,0.02004,0.01856,0.01962,203067712,USD
2020-09-30,0.01962,0.02034,0.01905,0.02015,164250784,USD
2020-10-01,0.02015,0.02044,0.01823,0.01898,284891712,USD
2020-10-02,0.01898,0.01907,0.01737,0.01819,172457808,USD
2020-10-03,0.01819,0.01874,0.01802,0.01849,82378784,USD
2020-10-04,0.01849,0.01872,0.01825,0.01857,78928608,USD
2020-10-05,0.01857,0.01897,0.01844,0.01883,91552968,USD
